##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_002949795.1	PRJNA224116	SAMN03354403	na	na	1618022	1618022	Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont'	strain=5183	na	latest	Complete Genome	Major	Full	2018-02-26	ASM294979v1	University of Iceland	GCA_002949795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/949/795/GCF_002949795.1_ASM294979v1	na	na	na	haploid	bacteria	7339908	7339908	41.500000	5	5	5	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-25	6567	6214	92	na
GCF_003015225.1	PRJNA224116	SAMN08708127	na	na	2116702	2116702	Synechocystis sp. IPPAS B-1465	strain=IPPAS B-1465	na	latest	Complete Genome	Major	Full	2018-03-26	ASM301522v1	Institute of Plant Physiology, Russian Academy of Sciences	GCA_003015225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/015/225/GCF_003015225.1_ASM301522v1	na	na	na	haploid	bacteria	3950993	3950993	47.500000	7	7	7	NCBI RefSeq	GCF_003015225.1-RS_2024_08_14	2024-08-14	3745	3622	51	25738257
GCF_003019735.1	PRJNA224116	SAMN06554445	na	na	1967666	1967666	Microcystis sp. MC19	strain=MC19	na	latest	Complete Genome	Major	Full	2018-03-27	ASM301973v1	Korea Research Institute of Bioscience and Biotechnology (KRIBB)	GCA_003019735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/019/735/GCF_003019735.1_ASM301973v1	na	na	na	haploid	bacteria	5020243	5020243	42.500000	1	1	1	NCBI RefSeq	GCF_003019735.1-RS_2024_08_24	2024-08-24	4934	4589	52	na
GCF_003054475.1	PRJNA224116	SAMN05967630	na	reference genome	1914872	70799	Nodularia spumigena UHCC 0039	strain=UHCC 0039	na	latest	Complete Genome	Major	Full	2018-04-17	ASM305447v1	Universtiy of Helsinki	GCA_003054475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/054/475/GCF_003054475.1_ASM305447v1	na	na	na	haploid	bacteria	5386612	5386612	41.000000	2	2	2	NCBI RefSeq	GCF_003054475.1-RS_2025_05_21	2025-05-21	4737	4538	60	na
GCF_003367075.2	PRJNA224116	SAMN08628414	na	reference genome	2108055	77022	Cylindrospermopsis raciborskii Cr2010	strain=Cr2010	na	latest	Complete Genome	Major	Full	2022-01-24	ASM336707v2	University of Tennessee	GCA_003367075.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/367/075/GCF_003367075.2_ASM336707v2	na	assembly designated as reftype	na	haploid	bacteria	3757845	3757845	40.000000	1	1	1	NCBI RefSeq	GCF_003367075.2-RS_2024_12_11	2024-12-11	3415	3261	55	na
GCF_003443655.1	PRJNA224116	SAMN09925536	na	reference genome	446679	446679	Nostoc sphaeroides	strain=Kutzing En	na	latest	Complete Genome	Major	Full	2018-09-04	ASM344365v1	Hubei University for Nationalities	GCA_003443655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/655/GCF_003443655.1_ASM344365v1	na	na	na	haploid	bacteria	6684490	6684490	41.500000	5	5	5	NCBI RefSeq	GCF_003443655.1-RS_2025_03_29	2025-03-29	6108	5789	88	na
GCF_003555505.1	PRJNA224116	SAMN09949183	na	reference genome	2016101	3161974	Thermosynechococcus sichuanensis E542	strain=E542	na	latest	Complete Genome	Major	Full	2020-07-23	ASM355550v2	Peking University Shenzhen Graduate School	GCA_003555505.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/555/505/GCF_003555505.1_ASM355550v2	na	assembly from type material	na	haploid	bacteria	2650294	2650294	53.500000	1	1	1	NCBI RefSeq	GCF_003555505.1-RS_2025_08_03	2025-08-03	2596	2515	48	30708328
GCF_003574135.1	PRJNA224116	SAMD00083434	na	reference genome	1763363	1763363	cyanobacterium endosymbiont of Rhopalodia gibberula	na	cyanobacterium endosymbiont of Rhopalodia gibberula isolate RgSB Namiki Park	latest	Complete Genome	Major	Full	2017-10-17	ASM357413v1	Center for Computational Sciences, University of Tsukuba	GCA_003574135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/574/135/GCF_003574135.1_ASM357413v1	na	na	na	haploid	bacteria	3020309	3020309	34.000000	1	1	1	NCBI RefSeq	GCF_003574135.1-RS_2025_03_28	2025-03-28	2066	1943	49	29026213
GCF_003846445.2	PRJNA224116	SAMN09425400	na	na	2219813	32046	Synechococcus elongatus PCC 11801	strain=PCC 11801	na	latest	Complete Genome	Major	Full	2024-02-09	ASM384644v2	Indian Institute of Technology Bombay	GCA_003846445.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/846/445/GCF_003846445.2_ASM384644v2	na	na	na	haploid	bacteria	2804843	2804843	55.000000	7	7	7	NCBI RefSeq	GCF_003846445.2-RS_2024_08_16	2024-08-16	2802	2739	53	30413737
GCF_003945305.1	PRJNA224116	SAMD00106498	na	na	213615	44822	Microcystis viridis NIES-102	strain=NIES-102	na	latest	Complete Genome	Major	Full	2018-11-22	ASM394530v1	National Institute for Environmental Studies	GCA_003945305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/945/305/GCF_003945305.1_ASM394530v1	na	na	na	haploid	bacteria	5874197	5874197	42.500000	1	1	1	NCBI RefSeq	GCF_003945305.1-RS_2025_03_16	2025-03-16	5788	5074	52	na
GCF_003957805.1	PRJNA224116	SAMN09724271	na	na	2479200	32046	Synechococcus elongatus UTEX 3055	strain=UTEX 3055	na	latest	Complete Genome	Major	Full	2018-12-21	ASM395780v1	University of California, San Diego	GCA_003957805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/957/805/GCF_003957805.1_ASM395780v1	na	na	na	haploid	bacteria	2881223	2881223	55.000000	3	3	3	NCBI RefSeq	GCF_003957805.1-RS_2025_04_10	2025-04-10	2943	2881	56	30552139
GCF_003967015.1	PRJNA224116	SAMD00051590	na	na	685565	685565	Pseudanabaena sp. ABRG5-3	strain=ABRG5-3	na	latest	Complete Genome	Major	Full	2018-01-04	ASM396701v1	Department of Life Sciences, Graduate School of Arts and Sciences, University of Tokyo	GCA_003967015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/967/015/GCF_003967015.1_ASM396701v1	na	na	na	haploid	bacteria	5657972	5657972	42.000000	8	8	8	NCBI RefSeq	GCF_003967015.1-RS_2025_01_28	2025-01-28	5150	4994	67	na
GCF_004209775.1	PRJNA224116	SAMN10863495	na	na	59932	59932	Synechococcus sp. WH 8101	strain=WH 8101	na	latest	Complete Genome	Major	Full	2019-02-19	ASM420977v1	University of Delaware	GCA_004209775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/209/775/GCF_004209775.1_ASM420977v1	na	na	na	haploid	bacteria	2630292	2630292	63.500000	1	1	1	NCBI RefSeq	GCF_004209775.1-RS_2024_08_23	2024-08-23	2829	2750	53	na
GCF_007904085.1	PRJNA224116	SAMN12419044	na	reference genome	522448	577489	Euhalothece natronophila Z-M001	strain=Z-M001	na	latest	Complete Genome	Major	Full	2019-08-08	ASM790408v1	Chungnam National Univ.	GCA_007904085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/904/085/GCF_007904085.1_ASM790408v1	na	assembly from type material	na	haploid	bacteria	3524308	3524308	41.000000	5	5	5	NCBI RefSeq	GCF_007904085.1-RS_2024_10_11	2024-10-11	3543	3424	54	na
GCF_008121535.1	PRJNA224116	SAMN05967626	na	na	1914871	1914871	Dolichospermum sp. UHCC 0315A	strain=UHCC 0315A	na	latest	Complete Genome	Major	Full	2019-08-28	ASM812153v1	Universtiy of Helsinki	GCA_008121535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/121/535/GCF_008121535.1_ASM812153v1	na	na	na	haploid	bacteria	5642022	5642022	38.000000	4	4	4	NCBI RefSeq	GCF_008121535.1-RS_2024_08_24	2024-08-24	5265	5023	63	na
GCF_008386235.1	PRJNA224116	SAMN11823200	na	na	2583530	2583530	Thermosynechococcus sp. CL-1	strain=CL-1	na	latest	Complete Genome	Major	Full	2019-09-16	ASM838623v1	Academia Sinica	GCA_008386235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/386/235/GCF_008386235.1_ASM838623v1	na	na	na	haploid	bacteria	2647823	2647823	53.500000	1	1	1	NCBI RefSeq	GCF_008386235.1-RS_2024_11_06	2024-11-06	2621	2543	48	na
GCF_008807075.1	PRJNA224116	SAMN10850838	na	na	2511069	2511069	Synechococcus sp. RSCCF101	strain=RSCCF101	na	latest	Complete Genome	Major	Full	2019-10-03	ASM880707v1	King Abdullah University of Science and Technology	GCA_008807075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/807/075/GCF_008807075.1_ASM880707v1	na	na	na	haploid	bacteria	2984853	2984853	68.000000	1	1	1	NCBI RefSeq	GCF_008807075.1-RS_2024_08_15	2024-08-15	2931	2788	55	na
GCF_009372195.1	PRJNA224116	SAMN12992885	na	na	2653204	446679	Nostoc sphaeroides CCNUC1	na	CCNUC1	latest	Complete Genome	Major	Full	2019-10-28	ASM937219v1	Central China Normal University	GCA_009372195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/372/195/GCF_009372195.1_ASM937219v1	na	na	na	haploid	bacteria	9516388	9516388	41.500000	9	9	9	NCBI RefSeq	GCF_009372195.1-RS_2025_03_28	2025-03-28	8672	8174	89	33848055
GCF_009498015.1	PRJNA224116	SAMN10417483	na	na	2490939	2490939	Anabaena sp. YBS01	strain=YBS01	na	latest	Complete Genome	Major	Full	2019-11-04	ASM949801v1	St. Edmund's College	GCA_009498015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/498/015/GCF_009498015.1_ASM949801v1	na	na	na	haploid	bacteria	7013200	7013200	41.500000	1	1	1	NCBI RefSeq	GCF_009498015.1-RS_2024_07_31	2024-07-31	5944	5760	56	na
GCF_009498715.2	PRJNA224116	SAMN10613228	na	na	2283154	32046	Synechococcus elongatus PCC 11802	strain=PCC 11802	na	latest	Complete Genome	Major	Full	2024-04-12	ASM949871v2	Indo-US Advanced Bioenergy Consortium (IUABC)	GCA_009498715.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/498/715/GCF_009498715.2_ASM949871v2	na	na	na	haploid	bacteria	2804512	2804512	55.000000	5	5	5	NCBI RefSeq	GCF_009498715.2-RS_2025_05_01	2025-05-01	2813	2746	53	na
GCF_009792235.1	PRJNA224116	SAMN13567245	na	na	2686288	1126	Microcystis aeruginosa FD4	strain=FD4	na	latest	Complete Genome	Major	Full	2019-12-23	ASM979223v1	Florida Gulf Coast University	GCA_009792235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/792/235/GCF_009792235.1_ASM979223v1	na	na	na	haploid	bacteria	5493112	5493112	42.500000	2	2	2	NCBI RefSeq	GCF_009792235.1-RS_2024_08_24	2024-08-24	5530	4958	52	32943567
GCF_009856605.1	PRJNA224116	SAMN13702813	na	reference genome	375899	264691	Trichormus variabilis 0441	strain=0441	na	latest	Complete Genome	Major	Full	2020-01-11	ASM985660v1	None	GCA_009856605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/856/605/GCF_009856605.1_ASM985660v1	na	na	na	haploid	bacteria	7096012	7096012	41.500000	5	5	5	NCBI RefSeq	GCF_009856605.1-RS_2025_05_21	2025-05-21	5979	5837	63	na
GCF_009873495.1	PRJNA224116	SAMN13242330	na	na	76335	76335	Nostoc sp. ATCC 53789	strain=ATCC 53789	na	latest	Complete Genome	Major	Full	2020-01-14	ASM987349v1	TU Dortmund University	GCA_009873495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/873/495/GCF_009873495.1_ASM987349v1	na	na	na	haploid	bacteria	8653730	8653730	41.500000	13	13	13	NCBI RefSeq	GCF_009873495.1-RS_2024_06_03	2024-06-03	7338	7027	109	na
GCF_010196425.1	PRJNA224116	SAMN10054359	na	na	449468	1126	Microcystis aeruginosa NIES-298	strain=NIES-298	na	latest	Complete Genome	Major	Full	2020-02-05	ASM1019642v1	Chung-Ang University	GCA_010196425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/196/425/GCF_010196425.1_ASM1019642v1	na	na	na	haploid	bacteria	5015081	5015081	42.500000	2	2	2	NCBI RefSeq	GCF_010196425.1-RS_2025_04_26	2025-04-26	4834	4478	52	na
GCF_011769525.1	PRJNA224116	SAMN14299416	na	na	2099387	2099387	Tolypothrix sp. PCC 7910	strain=PCC 7910	na	latest	Complete Genome	Major	Full	2020-03-30	ASM1176952v1	Chungnam National Univ.	GCA_011769525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/769/525/GCF_011769525.1_ASM1176952v1	na	na	na	haploid	bacteria	8761534	8761534	40.500000	7	7	7	NCBI RefSeq	GCF_011769525.1-RS_2024_08_25	2024-08-25	7086	6831	115	na
GCF_012295525.1	PRJNA224116	SAMN14410527	na	reference genome	2064643	2874213	Oxynema aestuarii AP17	strain=AP17	na	latest	Complete Genome	Major	Full	2020-04-15	ASM1229552v1	Jadavpur University	GCA_012295525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/295/525/GCF_012295525.1_ASM1229552v1	na	assembly from type material	na	haploid	bacteria	6357750	6357750	51.500000	1	1	1	NCBI RefSeq	GCF_012295525.1-RS_2024_09_22	2024-09-22	5164	5003	93	na
GCF_012516315.1	PRJNA224116	SAMN14546157	na	na	1521533	54297	Limnospira fusiformis SAG 85.79	strain=SAG 85.79	na	latest	Complete Genome	Major	Full	2020-04-18	ASM1251631v1	University of California, Santa Cruz	GCA_012516315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/516/315/GCF_012516315.1_ASM1251631v1	na	assembly from type material	na	haploid	bacteria	6423694	6423694	45.000000	1	1	1	NCBI RefSeq	GCF_012516315.1-RS_2025_08_04	2025-08-04	6150	5617	51	na
GCF_012516395.1	PRJNA224116	SAMN14567401	na	reference genome	315271	1166	Dolichospermum flos-aquae CCAP 1403/13F	strain=CCAP 1403/13f	na	latest	Complete Genome	Major	Full	2020-04-19	ASM1251639v1	NEB	GCA_012516395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/516/395/GCF_012516395.1_ASM1251639v1	na	na	na	haploid	bacteria	5220684	5220684	38.000000	2	2	2	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-01-18	4987	4734	66	na
GCF_013177315.1	PRJNA224116	SAMN14943777	na	reference genome	2737172	2885951	Thermoleptolyngbya sichuanensis A183	strain=A183	na	latest	Complete Genome	Major	Full	2020-05-27	ASM1317731v1	Chengdu University	GCA_013177315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/177/315/GCF_013177315.1_ASM1317731v1	na	assembly from type material	na	haploid	bacteria	5525100	5525100	56.500000	1	1	1	NCBI RefSeq	GCF_013177315.1-RS_2024_10_11	2024-10-11	4623	4478	55	34566907
GCF_013343235.1	PRJNA224116	SAMN11484046	na	na	2572090	2572090	Nostoc sp. TCL240-02	na	TCL240-02	latest	Complete Genome	Major	Full	2020-06-15	ASM1334323v1	Boyce Thompson Institute	GCA_013343235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/343/235/GCF_013343235.1_ASM1334323v1	na	na	na	haploid	bacteria	7887247	7887247	41.500000	1	1	1	NCBI RefSeq	GCF_013343235.1-RS_2024_07_27	2024-07-27	6907	6526	124	na
GCF_013393905.1	PRJNA224116	SAMN11587828	na	na	2576902	2576902	Nostoc sp. C052	strain=C052	na	latest	Complete Genome	Major	Full	2020-07-08	ASM1339390v1	Boyce Thompson Institute	GCA_013393905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/393/905/GCF_013393905.1_ASM1339390v1	na	na	na	haploid	bacteria	9879831	9879831	41.500000	9	9	9	NCBI RefSeq	GCF_013393905.1-RS_2024_08_31	2024-08-31	8527	8174	118	na
GCF_013393925.1	PRJNA224116	SAMN11587924	na	na	2576903	2576903	Nostoc sp. C057	strain=C057	na	latest	Complete Genome	Major	Full	2020-07-08	ASM1339392v1	Boyce Thompson Institute	GCA_013393925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/393/925/GCF_013393925.1_ASM1339392v1	na	na	na	haploid	bacteria	9234448	9234448	41.500000	16	16	16	NCBI RefSeq	GCF_013393925.1-RS_2024_08_31	2024-08-31	8158	7743	115	na
GCF_013393945.1	PRJNA224116	SAMN11588057	na	na	2576904	2576904	Nostoc sp. TCL26-01	strain=TCL26-01	na	latest	Complete Genome	Major	Full	2020-07-08	ASM1339394v1	Boyce Thompson Institute	GCA_013393945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/393/945/GCF_013393945.1_ASM1339394v1	na	na	na	haploid	bacteria	7387676	7387676	41.000000	8	8	8	NCBI RefSeq	GCF_013393945.1-RS_2024_08_31	2024-08-31	6425	6204	104	na
GCF_014023275.1	PRJNA224116	SAMN15196599	na	reference genome	1472755	264686	Nostoc edaphicum CCNP1411	strain=CCNP1411	na	latest	Complete Genome	Major	Full	2020-07-31	ASM1402327v1	University of Gdansk	GCA_014023275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/023/275/GCF_014023275.1_ASM1402327v1	na	na	na	haploid	bacteria	8316316	8316316	41.500000	6	6	6	NCBI RefSeq	GCF_014023275.1-RS_2025_03_28	2025-03-28	7073	6706	84	32858999
GCF_014217875.1	PRJNA224116	SAMN15487727	na	na	2751170	2751170	Synechococcus sp. LTW-R	strain=LTW-R	na	latest	Complete Genome	Major	Full	2020-08-17	ASM1421787v1	South China Sea Institute of Oceanology	GCA_014217875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/217/875/GCF_014217875.1_ASM1421787v1	na	na	na	haploid	bacteria	2415533	2415533	62.500000	1	1	1	NCBI RefSeq	GCF_014217875.1-RS_2024_08_16	2024-08-16	2659	2586	58	na
GCF_014279535.1	PRJNA224116	SAMN13641351	na	na	1442558	1442558	Synechococcus sp. TAK9802	strain=TAK9802	na	latest	Complete Genome	Major	Full	2020-08-24	ASM1427953v1	Station Biologique de Roscoff (CNRS - Sorbonne University)	GCA_014279535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/279/535/GCF_014279535.1_ASM1427953v1	na	na	na	haploid	bacteria	2190394	2190394	61.000000	1	1	1	NCBI RefSeq	GCF_014279535.1-RS_2024_08_17	2024-08-17	2517	2430	53	na
GCF_014279555.1	PRJNA224116	SAMN13641329	na	na	1050714	1050714	Synechococcus sp. SYN20	strain=SYN20	na	latest	Complete Genome	Major	Full	2020-08-24	ASM1427955v1	Station Biologique de Roscoff (CNRS - Sorbonne University)	GCA_014279555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/279/555/GCF_014279555.1_ASM1427955v1	na	na	na	haploid	bacteria	2728628	2728628	53.500000	1	1	1	NCBI RefSeq	GCF_014279555.1-RS_2024_08_17	2024-08-17	2903	2826	53	na
GCF_014279595.1	PRJNA224116	SAMN13641345	na	na	221352	221352	Synechococcus sp. RS9909	strain=RS9909	na	latest	Complete Genome	Major	Full	2020-08-24	ASM1427959v1	Station Biologique de Roscoff (CNRS - Sorbonne University)	GCA_014279595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/279/595/GCF_014279595.1_ASM1427959v1	na	na	na	haploid	bacteria	2603169	2603169	64.500000	1	1	1	NCBI RefSeq	GCF_014279595.1-RS_2024_08_17	2024-08-17	2790	2716	53	na
GCF_014279615.1	PRJNA224116	SAMN13641344	na	na	221350	221350	Synechococcus sp. RS9907	strain=RS9907	na	latest	Complete Genome	Major	Full	2020-08-24	ASM1427961v1	Station Biologique de Roscoff (CNRS - Sorbonne University)	GCA_014279615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/279/615/GCF_014279615.1_ASM1427961v1	na	na	na	haploid	bacteria	2581635	2581635	60.500000	1	1	1	NCBI RefSeq	GCF_014279615.1-RS_2024_08_17	2024-08-17	2804	2732	58	na
GCF_014279635.1	PRJNA224116	SAMN13641339	na	na	221345	221345	Synechococcus sp. RS9902	strain=RS9902	na	latest	Complete Genome	Major	Full	2020-08-24	ASM1427963v1	Station Biologique de Roscoff (CNRS - Sorbonne University)	GCA_014279635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/279/635/GCF_014279635.1_ASM1427963v1	na	na	na	haploid	bacteria	2481217	2481217	60.000000	1	1	1	NCBI RefSeq	GCF_014279635.1-RS_2024_08_17	2024-08-17	2717	2634	58	na
GCF_014279655.1	PRJNA224116	SAMN13641342	na	na	1442557	1442557	Synechococcus sp. ROS8604	strain=ROS8604	na	latest	Complete Genome	Major	Full	2020-08-24	ASM1427965v1	Station Biologique de Roscoff (CNRS - Sorbonne University)	GCA_014279655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/279/655/GCF_014279655.1_ASM1427965v1	na	na	na	haploid	bacteria	2876904	2876904	54.000000	1	1	1	NCBI RefSeq	GCF_014279655.1-RS_2024_08_17	2024-08-17	3164	3065	53	na
GCF_014279755.1	PRJNA224116	SAMN13641337	na	na	1400866	1400866	Synechococcus sp. PROS-U-1	strain=PROS-U-1	na	latest	Complete Genome	Major	Full	2020-08-24	ASM1427975v1	Station Biologique de Roscoff (CNRS - Sorbonne University)	GCA_014279755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/279/755/GCF_014279755.1_ASM1427975v1	na	na	na	haploid	bacteria	2576003	2576003	58.500000	1	1	1	NCBI RefSeq	GCF_014279755.1-RS_2024_08_17	2024-08-17	2773	2703	54	na
GCF_014279775.1	PRJNA224116	SAMN13641327	na	na	1968775	1968775	Synechococcus sp. PROS-9-1	strain=PROS-9-1	na	latest	Complete Genome	Major	Full	2020-08-24	ASM1427977v1	Station Biologique de Roscoff (CNRS - Sorbonne University)	GCA_014279775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/279/775/GCF_014279775.1_ASM1427977v1	na	na	na	haploid	bacteria	2273940	2273940	54.000000	1	1	1	NCBI RefSeq	GCF_014279775.1-RS_2024_08_17	2024-08-17	2429	2362	54	na
GCF_014279795.1	PRJNA224116	SAMN13641343	na	na	1442556	1442556	Synechococcus sp. PROS-7-1	strain=PROS-7-1	na	latest	Complete Genome	Major	Full	2020-08-24	ASM1427979v1	Station Biologique de Roscoff (CNRS - Sorbonne University)	GCA_014279795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/279/795/GCF_014279795.1_ASM1427979v1	na	na	na	haploid	bacteria	2565218	2565218	59.500000	1	1	1	NCBI RefSeq	GCF_014279795.1-RS_2024_08_17	2024-08-17	2775	2698	54	na
GCF_014279815.1	PRJNA224116	SAMN13641347	na	na	1442555	1442555	Synechococcus sp. NOUM97013	strain=NOUM97013	na	latest	Complete Genome	Major	Full	2020-08-24	ASM1427981v1	Station Biologique de Roscoff (CNRS - Sorbonne University)	GCA_014279815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/279/815/GCF_014279815.1_ASM1427981v1	na	na	na	haploid	bacteria	2552712	2552712	59.000000	1	1	1	NCBI RefSeq	GCF_014279815.1-RS_2024_08_17	2024-08-17	2747	2675	53	na
GCF_014279835.1	PRJNA224116	SAMN13641346	na	na	1386941	1386941	Synechococcus sp. MVIR-18-1	strain=MVIR-18-1	na	latest	Complete Genome	Major	Full	2020-08-24	ASM1427983v1	Station Biologique de Roscoff (CNRS - Sorbonne University)	GCA_014279835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/279/835/GCF_014279835.1_ASM1427983v1	na	na	na	haploid	bacteria	2451974	2451974	53.500000	1	1	1	NCBI RefSeq	GCF_014279835.1-RS_2024_08_17	2024-08-17	2655	2589	53	na
GCF_014279855.1	PRJNA224116	SAMN13641335	na	na	221341	221341	Synechococcus sp. Minos11	strain=MINOS11	na	latest	Complete Genome	Major	Full	2020-08-24	ASM1427985v1	Station Biologique de Roscoff (CNRS - Sorbonne University)	GCA_014279855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/279/855/GCF_014279855.1_ASM1427985v1	na	na	na	haploid	bacteria	2284343	2284343	60.500000	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-08-06	2586	2526	48	na
GCF_014279875.1	PRJNA224116	SAMN13641336	na	na	1442554	1442554	Synechococcus sp. MEDNS5	strain=MEDNS5	na	latest	Complete Genome	Major	Full	2020-08-24	ASM1427987v1	Station Biologique de Roscoff (CNRS - Sorbonne University)	GCA_014279875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/279/875/GCF_014279875.1_ASM1427987v1	na	na	na	haploid	bacteria	2435869	2435869	59.000000	1	1	1	NCBI RefSeq	GCF_014279875.1-RS_2024_08_17	2024-08-17	2631	2563	54	na
GCF_014279895.1	PRJNA224116	SAMN13641334	na	na	1442553	1442553	Synechococcus sp. M16.1	strain=M16.1	na	latest	Complete Genome	Major	Full	2020-08-24	ASM1427989v1	Station Biologique de Roscoff (CNRS - Sorbonne University)	GCA_014279895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/279/895/GCF_014279895.1_ASM1427989v1	na	na	na	haploid	bacteria	2112236	2112236	61.500000	1	1	1	NCBI RefSeq	GCF_014279895.1-RS_2024_08_17	2024-08-17	2420	2346	53	na
GCF_014279955.1	PRJNA224116	SAMN13641349	na	na	1442551	1442551	Synechococcus sp. BMK-MC-1	strain=BMK-MC-1	na	latest	Complete Genome	Major	Full	2020-08-24	ASM1427995v1	Station Biologique de Roscoff (CNRS - Sorbonne University)	GCA_014279955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/279/955/GCF_014279955.1_ASM1427995v1	na	na	na	haploid	bacteria	2601150	2601150	60.500000	1	1	1	NCBI RefSeq	GCF_014279955.1-RS_2024_08_17	2024-08-17	2924	2845	53	na
GCF_014279975.1	PRJNA224116	SAMN13641352	na	na	1400865	1400865	Synechococcus sp. BIOS-U3-1	strain=BIOS-U3-1	na	latest	Complete Genome	Major	Full	2020-08-24	ASM1427997v1	Station Biologique de Roscoff (CNRS - Sorbonne University)	GCA_014279975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/279/975/GCF_014279975.1_ASM1427997v1	na	na	na	haploid	bacteria	2710834	2710834	55.000000	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-08-06	2944	2875	54	na
